1.4991966983332474, 1.724848979512872, -0.12160212895549255, -2.1753188236947216, -0.00017021336573698123, -1.087988693313455, -4.938109420111803,
1.4991916571724542, 1.6867539812032724, -0.18405410661185698, -2.184735046947267, -0.00016732533036059306, -1.141030279477034, -4.900029949087173,
1.4991875501562975, 1.6444796817954754, -0.2454356089297675, -2.1906673851636143, -0.0001647436406185404, -1.1964859112962394, -4.85777029536131,
1.4991849051802855, 1.600064269696983, -0.3016086222890458, -2.190466440383793, -0.00016242916169889192, -1.2528666334577667, -4.813367810808864,
1.499183605095902, 1.5523144051042577, -0.3550974955937405, -2.1865547218347543, -0.00016034812634120412, -1.3102744794680683, -4.765629272646968,
1.499184877369515, 1.499956374629801, -0.4029013903248522, -2.177397491394254, 0.0012872935810751627, -1.365831955229366, -4.714986127181602,
1.4991866927801234, 1.4445605348201231, -0.4467693960860957, -2.164586864008386, 0.0011174701836769061, -1.4210290932733765, -4.659493147791307,
1.4991912881158664, 1.3852110638873187, -0.4824766545669395, -2.1460883146807044, 0.003764032873220197, -1.4748597922539266, -4.603156921236101,
1.4991988669774154, 1.3231385339515538, -0.5157177613055001, -2.125492842064196, 0.00560201187460656, -1.523814350817385, -4.543785203255278,
1.4996879299473223, 1.2573772265915732, -0.5409150546609162, -2.100055928020923, 0.009584521597891948, -1.5686607232024616, -4.48290929139693,
1.49967963561977, 1.1885145234160284, -0.564839022598016, -2.0735565155284506, 0.014796155679874249, -1.6047630041848786, -4.423287559608221,
1.4996817154644644, 1.1190172069826962, -0.5866556708467574, -2.047016274140411, 0.023823121258249806, -1.6285547697641691, -4.370905225591322,
1.4996891701092732, 1.0502628179923263, -0.61022408676034, -2.0203632596589314, 0.03775457475487437, -1.6347142973398172, -4.332485217673144,
1.4998511647320527, 0.9843680389772007, -0.6403285521273487, -1.9996857336559293, 0.05866868556019759, -1.6119322048015583, 1.9657160023634155,
1.4998649674728128, 0.9245190200407767, -0.6831598080847423, -1.9901355846241922, 0.09351593174432848, -1.5459847417817958, 1.9407145883191077,
1.499874456608489, 0.8808608195496442, -0.7426537603961536, -2.0012157449821224, 0.15738894826118116, -1.4265676353043364, 1.853586715660134,
1.4998799117457327, 0.8642518497092265, -0.8136732091599039, -2.036500046642043, 0.2778395806479138, -1.263735964825711, 1.6828793386940437,
1.4998708170973996, 0.8733423073849707, -0.8739190856222053, -2.0878150838439367, 0.48207459516751483, -1.1000760352596004, 1.4210124949947602,
1.49983239622052, 0.8731124842033793, -0.9049898002487222, -2.135366366440818, 0.7247885966421045, -0.9760969879172122, 1.123920266536593,
1.4997529174472009, 0.8536575047162404, -0.9122912034080309, -2.167492103194069, 0.9510536022879716, -0.907928054820517, 0.8483518904517313,
1.4996908373154343, 0.8034020514419399, -0.9159331871181519, -2.1819872075384548, 1.0898584556716482, -0.8646568509634255, 0.6714307921860986,
1.4996674007431992, 0.7192843476181562, -0.9160265515284275, -2.1814006789473996, 1.1394263444199635, -0.8052525110236488, 0.5909081068036403,
1.4996825592066088, 0.6079436077555858, -0.9148671035078468, -2.175002749868439, 1.1203392484164234, -0.7197998668750606, 0.5809441066310436,
1.4997300812783068, 0.482277718141235, -0.9109589994244126, -2.1676775168287628, 1.0512709296384897, -0.6226273845116409, 0.6227953461793357,
1.4998203471782316, 0.3449552515856194, -0.9043372812883658, -2.1645034763475035, 0.9268339258949483, -0.5109559875595056, 0.7176920160436067,
1.499930733684495, 0.20959296866375837, -0.8916688231108733, -2.1654196331899365, 0.7518719388238377, -0.40636319023091433, 0.8660360221078403,
1.5012479058037544, 0.08273786319961078, -0.8708069047996414, -2.1669315473164708, 0.5000007189765152, -0.31564320594222645, 1.0952599252224504,
1.5010915486494754, -0.039194270717502484, -0.8425452703947979, -2.169369017035746, 0.11225446123852041, -0.24845690209139762, 1.4645533426899955,
1.4552054765835132, -0.20056782004485832, -0.8399280869362403, -2.1807481725034563, -0.36165814652364875, -0.2469287460784429, 1.9237839632319478,
1.3940035819045178, -0.381620285474934, -0.8382538452236006, -2.1937011172301246, -3.9132558898288687, 0.2960551998860119, 5.461929238821266,
1.326323689373343, -0.5781367024995216, -0.8317744370768207, -2.2058013202513744, -1.0574640165881621, -0.38576508872757276, 2.594926744358994,
1.2494371659271917, -0.7874857818027062, -0.8170750005917805, -2.2168164906526973, 1.896936363823759, 0.4943368488559639, -0.3667975979258888,
1.1596155304006364, -1.0156896380494618, -0.7954362402668748, -2.2253827770686607, 1.7712306166658531, 0.6186945355966882, -0.24439306589977305,
1.0481988831784506, -1.2783987849235836, -0.7588985264898068, -2.2285470489831933, 1.6774942625854214, 0.7612049400255347, -0.1468671357212283
